Broker ID,Firm name,Customer Income,Customer Insurance Premium,Number of Calls,Call Duration,Misconducts,Firm Ranking,Customer ID,YearsExperience,NumClients,AvgInvestment,Complaints,Misconducts
BG2169BG,Ameritas Investment,89081,2202,49,29,0,110,LQ278570LQ,6.080659752240448,94,57916.49147922791,6,1
EJ1830EJ,Wells Fargo Advisors Financial Network,143105,2205,3,1,1,1,OT883152OT,7.3436279022031385,51,49331.23675522733,4,1
DI2651DI,Farmers Financial Solutions,69065,1663,6,55,1,406,NS897552NS,10.393722471738247,62,43363.74048617923,4,1
AF2136AF,Prudential Investment Management Services,138092,1024,5,35,1,203,KP609733KP,11.476933159990821,57,71910.66005559717,3,0
EJ3810EJ,Wells Fargo Advisors Financial Network,104693,2990,5,6,1,1,OT384996OT,10.34273656237994,66,53400.67630525231,3,0
AF9667AF,Prudential Investment Management Services,76962,2203,47,37,1,203,KP441383KP,9.76870343522352,79,37259.310150466765,2,0
DI2019DI,Farmers Financial Solutions,78295,1709,23,53,1,406,NS494145NS,9.397792608821423,75,64140.40461002768,0,0
DI6237DI,Farmers Financial Solutions,63807,4572,49,59,0,406,NS832847NS,7.042956019265145,8,41442.25250587429,3,0
EJ2283EJ,Wells Fargo Advisors Financial Network,182396,2879,9,5,1,1,OT611603OT,8.560311583210582,26,77418.78340269916,0,0
DI1659DI,Farmers Financial Solutions,141267,2184,35,33,0,406,NS715863NS,9.078722458080424,51,50796.57857527587,7,1
BG3010BG,Ameritas Investment,69870,3224,20,49,0,110,LQ607365LQ,12.11424445243783,45,60133.160360553535,3,0
DI9590DI,Farmers Financial Solutions,76790,1284,49,51,1,406,NS719328NS,10.687236579136922,44,29199.824391530987,1,0
AF2733AF,Prudential Investment Management Services,168874,1062,42,14,0,203,KP248510KP,6.473919689274532,5,37158.59115910037,6,1
AF3125AF,Prudential Investment Management Services,75289,2002,35,12,1,203,KP279587KP,10.648167938789591,70,63338.59619760715,2,0
AF3171AF,Prudential Investment Management Services,65485,1661,18,42,0,203,KP630032KP,9.229835439167367,26,53178.15065629137,4,1
AF9266AF,Prudential Investment Management Services,94482,3713,17,20,1,203,KP839180KP,8.646155999388082,68,70423.96422714074,2,0
BG4471BG,Ameritas Investment,136188,3203,24,53,0,110,LQ535633LQ,11.223352577681736,19,54851.75105229589,3,0
CH6624CH,Princor Financial Services Corporation,54748,4953,3,50,1,315,MR928791MR,12.061999044991902,84,51452.962397410396,0,0
EJ9691EJ,Wells Fargo Advisors Financial Network,190507,2492,32,24,1,1,OT775159OT,11.862560238232398,97,67135.73990822205,2,0
AF9329AF,Prudential Investment Management Services,53709,4120,35,59,1,203,KP460890KP,8.321564953554724,20,60101.36999225445,3,0
DI3097DI,Farmers Financial Solutions,173961,1966,38,43,1,406,NS849122NS,9.38157524829757,12,48037.3880072371,4,1
AF6068AF,Prudential Investment Management Services,80355,1848,13,34,0,203,KP745194KP,10.662526862807129,47,39058.95899501553,4,1
DI7397DI,Farmers Financial Solutions,194188,2107,47,25,1,406,NS301260NS,11.951090254244718,1,26283.84335234506,5,1
DI3757DI,Farmers Financial Solutions,92918,4432,25,50,0,406,NS845219NS,9.04165152430942,90,45623.34330197295,1,0
AF4920AF,Prudential Investment Management Services,102224,1688,9,29,0,203,KP877881KP,9.628682046672365,14,38136.64904778628,3,0
BG9186BG,Ameritas Investment,89298,1147,4,57,0,110,LQ863034LQ,7.787330051987944,64,75977.04643234384,3,0
DI2900DI,Farmers Financial Solutions,130219,4701,14,39,1,406,NS631885NS,7.607586751838658,38,43496.290559299734,3,0
DI3610DI,Farmers Financial Solutions,111629,1341,37,31,0,406,NS933525NS,11.625051644788396,37,43222.90994374955,4,1
AF7900AF,Prudential Investment Management Services,116040,3523,34,56,0,203,KP530442KP,12.712480057141645,11,34787.55125411355,1,0
DI2449DI,Farmers Financial Solutions,78016,2086,11,47,0,406,NS303199NS,9.855979756839332,77,47336.826714772964,3,0
DI9738DI,Farmers Financial Solutions,73960,2724,41,43,1,406,NS476794NS,12.007065795784047,3,43354.65070357788,5,1
AF6017AF,Prudential Investment Management Services,83591,2383,3,50,1,203,KP584585KP,10.723272050095268,33,67377.29428744459,6,1
AF8999AF,Prudential Investment Management Services,153333,3608,28,23,0,203,KP832722KP,8.709760490789751,6,51684.761594149844,6,1
EJ7052EJ,Wells Fargo Advisors Financial Network,164821,1326,29,44,1,1,OT781777OT,10.722791211016828,50,49911.35977343623,7,1
BG3096BG,Ameritas Investment,86395,2792,9,38,1,110,LQ572890LQ,13.076073132931938,10,48653.27245917402,3,0
BG9895BG,Ameritas Investment,179695,2759,3,20,0,110,LQ483100LQ,9.928347921780096,5,57861.749201892024,2,0
DI7404DI,Farmers Financial Solutions,84620,4212,25,23,0,406,NS215598NS,13.129287311628012,23,45476.718343655,1,0
BG4331BG,Ameritas Investment,178148,1989,34,45,1,110,LQ350100LQ,4.760509791820511,10,56672.06093531838,1,0
DI8462DI,Farmers Financial Solutions,70559,3262,12,52,0,406,NS882877NS,11.643805008750448,44,66139.69820727444,5,1
EJ6105EJ,Wells Fargo Advisors Financial Network,143396,3482,42,16,1,1,OT808521OT,10.174094136476343,2,54600.75010299647,2,0
AF3978AF,Prudential Investment Management Services,71732,4962,9,50,1,203,KP876676KP,9.401985299068265,13,47502.68717174865,3,0
AF3839AF,Prudential Investment Management Services,141362,1951,15,42,1,203,KP233241KP,10.183521553071005,40,40465.40829028099,2,0
AF4384AF,Prudential Investment Management Services,63843,1722,40,55,1,203,KP839452KP,6.024862170798214,2,47248.76013652926,5,1
BG1685BG,Ameritas Investment,164065,4389,25,8,1,110,LQ253124LQ,9.560656224324976,84,55630.78873972571,1,0
EJ8531EJ,Wells Fargo Advisors Financial Network,121726,3079,5,50,1,1,OT565065OT,10.714225143023492,65,34674.726580826784,3,0
BG5283BG,Ameritas Investment,67640,3717,11,21,0,110,LQ304923LQ,12.955788089483033,63,58315.42757709282,4,1
BG8736BG,Ameritas Investment,102528,3332,34,1,0,110,LQ108036LQ,8.963459563452705,73,52076.126882280645,3,0
EJ8710EJ,Wells Fargo Advisors Financial Network,88413,4376,24,55,1,1,OT656066OT,8.383012794213625,17,48508.108402412814,7,1
EJ2619EJ,Wells Fargo Advisors Financial Network,102638,1428,15,8,1,1,OT254245OT,8.996485912830927,9,43405.86588548998,6,1
EJ7868EJ,Wells Fargo Advisors Financial Network,160133,2500,38,29,1,1,OT785763OT,11.830804235404148,75,45236.22299030633,3,0
EJ2431EJ,Wells Fargo Advisors Financial Network,156357,1285,8,32,0,1,OT302747OT,10.657502219319369,15,55973.060414653075,5,1
AF5713AF,Prudential Investment Management Services,188186,4215,5,38,1,203,KP643088KP,8.940479592465923,24,48717.884739048895,3,0
CH5998CH,Princor Financial Services Corporation,128859,4495,48,5,0,315,MR387516MR,11.026534866226712,38,44988.6003272143,1,0
CH1162CH,Princor Financial Services Corporation,149657,4090,26,47,1,315,MR423660MR,10.194155098696081,35,54685.63493371523,2,0
EJ2974EJ,Wells Fargo Advisors Financial Network,192047,3065,18,22,1,1,OT906970OT,11.937289981065778,94,55081.8977749213,1,0
CH4291CH,Princor Financial Services Corporation,61023,1768,6,47,0,315,MR950350MR,8.595893812245295,95,37508.24938675952,1,0
CH9461CH,Princor Financial Services Corporation,71447,3637,37,34,0,315,MR433299MR,9.344675706804464,49,55714.80696576985,0,0
EJ1631EJ,Wells Fargo Advisors Financial Network,175899,2394,48,1,1,1,OT855600OT,9.215783693735684,69,75016.98212860443,4,1
CH1905CH,Princor Financial Services Corporation,73959,4246,13,55,1,315,MR159500MR,7.072970103735763,62,54696.20789375504,3,0
BG3014BG,Ameritas Investment,116203,4057,28,55,1,110,LQ267647LQ,10.592240554129152,60,33009.927951563324,1,0
DI8896DI,Farmers Financial Solutions,169156,1193,5,26,0,406,NS336527NS,10.522110544359778,50,51773.75391839546,3,0
DI1204DI,Farmers Financial Solutions,59337,3549,13,43,0,406,NS535477NS,10.010226913284923,78,31691.846258063153,2,0
EJ1581EJ,Wells Fargo Advisors Financial Network,96427,1987,17,10,0,1,OT734947OT,9.530825733249706,75,81673.71672064159,3,0
AF6675AF,Prudential Investment Management Services,111529,2136,40,30,0,203,KP652004KP,7.1692585158991715,9,72356.74686984473,6,1
EJ6347EJ,Wells Fargo Advisors Financial Network,152023,3161,45,50,0,1,OT496452OT,9.158709354469282,34,43340.61517204604,2,0
AF3643AF,Prudential Investment Management Services,134665,4293,32,18,0,203,KP509064KP,9.31457096694646,76,27543.32801006164,4,1
DI9017DI,Farmers Financial Solutions,155787,2701,29,17,1,406,NS102352NS,8.395445461556761,99,41216.288129072156,2,0
EJ3297EJ,Wells Fargo Advisors Financial Network,83307,1946,3,26,1,1,OT233004OT,9.677428576667982,35,48190.09261060276,4,1
BG1874BG,Ameritas Investment,177016,1830,40,8,0,110,LQ962881LQ,10.808101713629076,1,32381.362579602614,4,1
CH6560CH,Princor Financial Services Corporation,54835,4715,34,47,1,315,MR632844MR,13.77237180242106,40,49309.77485003772,3,0
AF1689AF,Prudential Investment Management Services,70159,2920,40,40,1,203,KP886261KP,10.349155625663679,64,48124.213357297485,1,0
CH5000CH,Princor Financial Services Corporation,171790,4335,27,49,0,315,MR448980MR,10.515100781445529,22,51251.546970628886,5,1
CH1671CH,Princor Financial Services Corporation,155616,3972,13,12,1,315,MR760858MR,9.851108168467665,60,52296.4517693798,4,1
EJ8927EJ,Wells Fargo Advisors Financial Network,128752,1054,45,27,0,1,OT831478OT,6.1624575694019175,64,40343.82400122848,4,1
CH2171CH,Princor Financial Services Corporation,105284,4942,33,8,0,315,MR150098MR,9.946972249101567,93,41465.85960250346,2,0
BG6591BG,Ameritas Investment,107043,4714,6,25,1,110,LQ474313LQ,10.120460419882052,72,50455.9216447005,5,1
CH7342CH,Princor Financial Services Corporation,147007,1799,24,46,0,315,MR764929MR,14.926484224970572,11,43690.07870126053,1,0
EJ2449EJ,Wells Fargo Advisors Financial Network,132844,1777,19,4,0,1,OT347199OT,9.615278070437755,14,59074.947684172555,3,0
BG3539BG,Ameritas Investment,77532,2481,16,33,0,110,LQ226060LQ,10.603094684667225,60,50358.945497677,2,0
DI4959DI,Farmers Financial Solutions,172402,2901,40,1,0,406,NS287954NS,9.930576460589513,30,68650.03233997474,2,0
CH7285CH,Princor Financial Services Corporation,168012,3209,28,19,0,315,MR825753MR,7.6626439247609355,35,58204.82438271226,1,0
EJ6432EJ,Wells Fargo Advisors Financial Network,186785,4451,33,31,0,1,OT230544OT,12.285645629030041,85,61037.13869390598,3,0
DI5260DI,Farmers Financial Solutions,106178,3134,48,16,0,406,NS624628NS,11.503866065373549,37,51325.66067964786,3,0
DI3361DI,Farmers Financial Solutions,99407,1054,41,14,0,406,NS799309NS,11.582063894086094,5,51573.61501290296,3,0
AF7164AF,Prudential Investment Management Services,100990,4547,13,53,1,203,KP706590KP,8.181225090410521,83,67313.20579909177,3,0
BG4670BG,Ameritas Investment,179473,2823,43,48,1,110,LQ847028LQ,12.805588621872198,78,46217.071164629706,0,0
CH2753CH,Princor Financial Services Corporation,108141,2201,45,5,1,315,MR567243MR,7.196297874415438,26,55467.7935416524,6,1
EJ9100EJ,Wells Fargo Advisors Financial Network,106570,4462,25,41,0,1,OT624426OT,11.17371418760054,62,47337.62467838542,2,0
AF2938AF,Prudential Investment Management Services,51015,4420,42,26,0,203,KP493574KP,14.380911251619956,4,47313.63941612697,3,0
BG9562BG,Ameritas Investment,111813,4079,36,28,1,110,LQ743907LQ,8.018927349738624,89,38311.0373425828,4,1
AF6976AF,Prudential Investment Management Services,77712,1832,27,2,1,203,KP568466KP,8.867404540794457,42,42574.85649143059,2,0
BG7588BG,Ameritas Investment,150497,1312,38,50,1,110,LQ971808LQ,10.199302730175283,89,40717.305485835495,4,1
BG9616BG,Ameritas Investment,189487,3806,7,6,0,110,LQ724219LQ,8.993048691767601,18,55943.6880892317,2,0
CH7304CH,Princor Financial Services Corporation,162816,2858,5,9,1,315,MR256951MR,6.898673137867735,40,60402.05928223662,5,1
BG8345BG,Ameritas Investment,178778,3007,43,33,1,110,LQ967964LQ,10.137125949612054,72,49052.466264215975,4,1
AF8875AF,Prudential Investment Management Services,112292,3006,45,41,0,203,KP942210KP,7.87539257254779,39,52296.27930163653,2,0
BG7633BG,Ameritas Investment,73833,3490,31,25,1,110,LQ662060LQ,10.947184861270363,14,48475.28644894904,4,1
CH1597CH,Princor Financial Services Corporation,185230,2790,23,48,0,315,MR158478MR,8.161151531532393,32,41892.24080107015,5,1
CH4062CH,Princor Financial Services Corporation,70309,1327,42,13,0,315,MR557569MR,13.09986881003508,51,58622.63024796879,2,0
AF3336AF,Prudential Investment Management Services,56970,4125,10,9,0,203,KP651050KP,8.433493415327526,38,56525.34693759479,0,0
DI1572DI,Farmers Financial Solutions,122474,3808,32,53,1,406,NS244355NS,9.35587696758865,97,31074.540146960364,4,1
DI8521DI,Farmers Financial Solutions,96540,4310,43,13,1,406,NS819282NS,11.62703443473934,23,47168.909987647465,1,0
BG7171BG,Ameritas Investment,68017,4300,30,31,0,110,LQ794780LQ,7.53827136713209,63,41179.72658792572,3,0
EJ8097EJ,Wells Fargo Advisors Financial Network,125880,3626,39,41,1,1,OT942000OT,10.45491986920826,15,46090.61430334775,4,1
BG3090BG,Ameritas Investment,155570,4122,31,11,1,110,LQ971522LQ,12.614285508564857,97,43295.684329537406,1,0
AF7566AF,Prudential Investment Management Services,58702,4680,18,4,1,203,KP906651KP,6.785033530877545,25,49535.796292586005,3,0
AF5624AF,Prudential Investment Management Services,181456,4675,36,34,1,203,KP943601KP,10.36926771706461,17,46700.85264866526,2,0
AF2633AF,Prudential Investment Management Services,50404,4054,2,38,0,203,KP593671KP,10.519765588496847,97,46488.59306179161,2,0
AF2517AF,Prudential Investment Management Services,62763,2287,14,46,1,203,KP699253KP,11.56364574355462,66,61073.88428338713,3,0
AF4648AF,Prudential Investment Management Services,199456,4489,13,4,0,203,KP277912KP,7.526098578243836,78,55571.78660669249,1,0
CH2537CH,Princor Financial Services Corporation,148142,4874,29,38,0,315,MR275767MR,7.359086773831447,53,42961.053496995664,5,1
DI4137DI,Farmers Financial Solutions,190932,3143,12,19,1,406,NS336281NS,11.043883131233795,51,44444.53267186579,7,1
AF7985AF,Prudential Investment Management Services,130642,2111,39,6,0,203,KP184754KP,10.593969346466372,39,54917.93055399613,1,0
EJ1097EJ,Wells Fargo Advisors Financial Network,100612,4149,2,34,1,1,OT702276OT,10.500985700691754,51,54904.195717027666,1,0
EJ4750EJ,Wells Fargo Advisors Financial Network,73574,2311,32,18,1,1,OT551558OT,10.692896418993952,70,43962.19760937931,0,0
EJ9535EJ,Wells Fargo Advisors Financial Network,73524,4191,13,13,0,1,OT607732OT,8.639950556843019,6,47660.09333097835,3,0
EJ9174EJ,Wells Fargo Advisors Financial Network,60916,3861,46,41,0,1,OT250023OT,10.464507394322007,67,68468.06040086968,3,0
CH9103CH,Princor Financial Services Corporation,54809,3538,27,23,0,315,MR756667MR,10.586144946597363,7,44134.51911478657,6,1
EJ6413EJ,Wells Fargo Advisors Financial Network,194528,4983,49,19,0,1,OT180388OT,8.571297163947264,51,69108.04588458786,3,0
AF5666AF,Prudential Investment Management Services,171288,1451,41,45,1,203,KP977200KP,13.731549022289514,72,61036.66942525805,4,1
BG1610BG,Ameritas Investment,88765,2523,17,11,1,110,LQ921860LQ,10.947665841823575,42,67254.16275055465,3,0
EJ2727EJ,Wells Fargo Advisors Financial Network,95106,1164,40,1,1,1,OT339779OT,7.617393005594703,64,43709.28027930571,3,0
CH2854CH,Princor Financial Services Corporation,103932,1181,31,24,0,315,MR978453MR,11.31310721726766,15,48314.44125937239,3,0
CH6055CH,Princor Financial Services Corporation,198172,3516,34,54,0,315,MR306846MR,8.050636659545358,29,45508.36191224437,1,0
EJ3324EJ,Wells Fargo Advisors Financial Network,107091,1909,24,7,0,1,OT794335OT,11.574169207484903,33,61267.53191926203,1,0
BG6774BG,Ameritas Investment,71949,3782,45,25,1,110,LQ232212LQ,12.317191158014808,94,44323.1622732791,5,1
EJ7519EJ,Wells Fargo Advisors Financial Network,87744,1822,35,21,0,1,OT912853OT,8.358635363296578,27,57312.154933428734,3,0
CH2749CH,Princor Financial Services Corporation,158319,1943,48,15,1,315,MR888140MR,11.926752258488644,36,56782.99411192041,3,0
DI1781DI,Farmers Financial Solutions,142193,3001,6,1,0,406,NS512811NS,10.825561853872996,29,49519.704692858235,2,0
AF8548AF,Prudential Investment Management Services,86187,3054,19,12,1,203,KP700309KP,11.64412031998898,38,62986.597341643355,0,0
CH7823CH,Princor Financial Services Corporation,188311,1329,30,58,1,315,MR259380MR,13.793585965307894,57,51076.79869726605,4,1
EJ3105EJ,Wells Fargo Advisors Financial Network,174454,1774,7,7,0,1,OT144789OT,9.509223767994259,97,58340.85718608303,4,1
AF4867AF,Prudential Investment Management Services,64489,4744,10,15,0,203,KP126086KP,8.492527671285021,27,45052.96631082217,3,0
EJ8193EJ,Wells Fargo Advisors Financial Network,111877,3198,41,21,1,1,OT379003OT,8.220971140748954,55,42765.63185893175,4,1
EJ5976EJ,Wells Fargo Advisors Financial Network,99922,4156,32,19,1,1,OT631972OT,8.368379430069123,33,57311.45529257608,2,0
DI3113DI,Farmers Financial Solutions,144074,1146,34,29,0,406,NS191088NS,9.845796581171792,68,54308.40244333749,4,1
AF6879AF,Prudential Investment Management Services,87131,4695,28,25,0,203,KP494423KP,10.682303949633289,86,52433.07664128366,2,0
AF4970AF,Prudential Investment Management Services,165765,4452,15,33,1,203,KP670387KP,10.553381598660039,66,46563.11652062216,1,0
DI8264DI,Farmers Financial Solutions,123963,1914,30,49,0,406,NS690381NS,11.654366498072047,10,65492.09476526304,3,0
CH2577CH,Princor Financial Services Corporation,156884,2571,37,32,1,315,MR260761MR,10.026003783755813,5,38834.14195746153,5,1
EJ3274EJ,Wells Fargo Advisors Financial Network,175917,2308,29,49,1,1,OT935083OT,12.907068154314633,74,38286.56990269028,4,1
BG5869BG,Ameritas Investment,74285,3747,22,35,0,110,LQ638181LQ,9.470686333524087,97,59421.66505163829,2,0
EJ7744EJ,Wells Fargo Advisors Financial Network,87626,1081,4,44,0,1,OT591024OT,15.440338333179238,38,58600.9638414307,5,1
EJ3426EJ,Wells Fargo Advisors Financial Network,69198,1513,20,38,0,1,OT690706OT,11.251334695530012,13,53537.62778991868,4,1
CH6546CH,Princor Financial Services Corporation,65254,2920,32,26,0,315,MR225074MR,8.285684887167434,31,47120.47778097194,6,1
EJ7852EJ,Wells Fargo Advisors Financial Network,94238,3862,36,11,0,1,OT989497OT,7.858215003877776,47,55024.22129190412,1,0
DI3551DI,Farmers Financial Solutions,51252,3756,4,35,1,406,NS230351NS,10.96494483048637,88,67208.30297119534,1,0
DI7411DI,Farmers Financial Solutions,89764,2939,27,8,1,406,NS815371NS,9.553074429348298,52,75155.46207874225,8,1
AF1007AF,Prudential Investment Management Services,127709,4594,17,46,0,203,KP138635KP,11.428000988184184,56,33435.86294524843,1,0
BG9087BG,Ameritas Investment,103682,1745,12,14,0,110,LQ195071LQ,10.94647524914709,15,45810.79880751453,5,1
EJ3555EJ,Wells Fargo Advisors Financial Network,109494,4070,22,10,0,1,OT565918OT,9.854342174686254,29,45182.2673701516,3,0
EJ1475EJ,Wells Fargo Advisors Financial Network,131317,2409,17,2,1,1,OT964950OT,8.30641256386319,8,66265.19471699682,4,1
CH6416CH,Princor Financial Services Corporation,115215,1706,10,46,0,315,MR468377MR,6.970305550628271,5,25187.050134347985,3,0
DI9676DI,Farmers Financial Solutions,128587,1470,1,9,0,406,NS990083NS,9.106970095865957,29,55138.35193065546,1,0
BG8239BG,Ameritas Investment,56949,4190,22,3,1,110,LQ697093LQ,11.712797588646945,47,47431.896915809666,1,0
AF7710AF,Prudential Investment Management Services,105393,1395,26,21,1,203,KP521280KP,10.428187488260408,68,66381.12749547641,3,0
DI6000DI,Farmers Financial Solutions,188013,2555,18,26,0,406,NS441207NS,7.508522442576024,76,65010.388400044605,1,0
AF5654AF,Prudential Investment Management Services,75934,3308,14,8,0,203,KP364598KP,10.346361851702364,45,53655.06734826693,4,1
CH9078CH,Princor Financial Services Corporation,125745,1804,47,48,0,315,MR383022MR,10.770634759457673,2,34202.76929288203,0,0
CH7063CH,Princor Financial Services Corporation,144456,1933,29,2,1,315,MR282170MR,8.232285127597734,27,44261.10517664867,3,0
EJ3285EJ,Wells Fargo Advisors Financial Network,103413,2279,12,6,0,1,OT293226OT,10.307450211891055,95,45356.089233862614,5,1
BG6223BG,Ameritas Investment,147239,2757,36,28,0,110,LQ244063LQ,10.116417436892,36,36735.45205546535,2,0
AF7971AF,Prudential Investment Management Services,92318,1904,35,53,0,203,KP692632KP,7.714059404338753,36,61545.8428185937,3,0
DI4525DI,Farmers Financial Solutions,120390,4297,12,29,1,406,NS991378NS,10.715574720696566,26,35465.73502725594,3,0
CH3822CH,Princor Financial Services Corporation,93088,2076,7,26,1,315,MR660881MR,11.121569052736469,43,69653.27508453712,1,0
EJ5943EJ,Wells Fargo Advisors Financial Network,153196,3987,29,25,0,1,OT660592OT,12.166102486350553,27,69628.22634045458,3,0
EJ7530EJ,Wells Fargo Advisors Financial Network,105479,2890,11,12,0,1,OT523602OT,12.107604104069805,69,46149.39738140494,4,1
AF1258AF,Prudential Investment Management Services,69963,2523,33,5,1,203,KP810580KP,7.244661264085818,20,53284.95370129816,2,0
CH1282CH,Princor Financial Services Corporation,105123,4577,6,34,1,315,MR213613MR,8.124349920169754,11,49277.165219295755,0,0
BG2898BG,Ameritas Investment,175911,3901,47,48,1,110,LQ824698LQ,11.03007053441732,74,59018.2480036169,5,1
CH5135CH,Princor Financial Services Corporation,152468,2387,15,37,1,315,MR587505MR,11.027571901824418,38,62746.77338564759,4,1
AF7629AF,Prudential Investment Management Services,123477,2303,32,15,1,203,KP514299KP,11.030095372612095,6,52579.96992120066,3,0
AF4200AF,Prudential Investment Management Services,64388,1592,11,44,1,203,KP642642KP,17.70546298130944,72,54691.16709781063,3,0
CH6110CH,Princor Financial Services Corporation,55569,3761,23,36,1,315,MR384334MR,11.141781021386334,23,43793.957360604836,3,0
AF8167AF,Prudential Investment Management Services,119836,4229,26,15,1,203,KP630430KP,12.271131280361198,47,54367.139668903386,4,1
CH1612CH,Princor Financial Services Corporation,154573,3679,34,43,1,315,MR521614MR,11.908003526986406,90,51627.62078923981,3,0
DI1687DI,Farmers Financial Solutions,193087,3106,46,48,0,406,NS283043NS,11.302782502611596,46,40882.05511248643,4,1
CH4690CH,Princor Financial Services Corporation,95002,4798,34,23,0,315,MR928294MR,9.369461510719308,12,49859.62890656889,2,0
CH9804CH,Princor Financial Services Corporation,187326,1127,29,6,0,315,MR808770MR,11.517938440986535,90,46168.17482013927,2,0
AF3307AF,Prudential Investment Management Services,198216,1735,4,46,1,203,KP250575KP,8.454349570924856,13,43905.044181819416,2,0
